,configuration,migration_mechanism,thread_cnt,page_cnt,rpdaa,nt,bandwidth(MBps)
147,dram to dram,native THP,1,512,False,False,3195.8650978552732
148,dram to pmem,native THP,1,512,True,True,1954.9149130366848
149,dram to pmem,native THP,1,512,False,True,1004.4152308356403
150,dram to pmem,native THP,1,512,True,False,689.3429562308717
151,dram to pmem,native THP,1,512,False,False,385.9700475127289
152,pmem to dram,native THP,1,512,True,True,1523.7706427154603
153,pmem to dram,native THP,1,512,False,True,1543.0939133444494
154,pmem to dram,native THP,1,512,True,False,2251.654180382275
155,pmem to dram,native THP,1,512,False,False,2253.130178923682
156,pmem to pmem,native THP,1,512,True,True,1271.6282633043577
157,pmem to pmem,native THP,1,512,False,True,949.8488727831293
158,pmem to pmem,native THP,1,512,True,False,685.6214566399341
159,pmem to pmem,native THP,1,512,False,False,391.73510691505004
160,dram to dram,native THP,2,1,True,True,1857.2388763927668
161,dram to dram,native THP,2,1,False,True,2069.6790569383197
162,dram to dram,native THP,2,1,True,False,2011.5438478339495
163,dram to dram,native THP,2,1,False,False,3310.6597284067184
164,dram to pmem,native THP,2,1,True,True,1472.0934508476093
165,dram to pmem,native THP,2,1,False,True,1053.6152119278515
166,dram to pmem,native THP,2,1,True,False,1269.514178505627
167,dram to pmem,native THP,2,1,False,False,1119.0668057144476
168,pmem to dram,native THP,2,1,True,True,2094.2259259305797
169,pmem to dram,native THP,2,1,False,True,2067.932406734181
170,pmem to dram,native THP,2,1,True,False,4723.248347925809
171,pmem to dram,native THP,2,1,False,False,3199.286431154395
172,pmem to pmem,native THP,2,1,True,True,1298.7594898732475
173,pmem to pmem,native THP,2,1,False,True,1028.062825330481
174,pmem to pmem,native THP,2,1,True,False,1267.098383980734
175,pmem to pmem,native THP,2,1,False,False,1105.5990854484364
176,dram to dram,native THP,2,2,True,True,2067.254614551591
177,dram to dram,native THP,2,2,False,True,2151.0696193682306
178,dram to dram,native THP,2,2,True,False,2215.092332247458
179,dram to dram,native THP,2,2,False,False,3744.264488852669
180,dram to pmem,native THP,2,2,True,True,1653.6319131115647
181,dram to pmem,native THP,2,2,False,True,1104.1137290138342
182,dram to pmem,native THP,2,2,True,False,1579.310776142805
183,dram to pmem,native THP,2,2,False,False,1153.0448541943074
184,pmem to dram,native THP,2,2,True,True,2332.1643359599334
185,pmem to dram,native THP,2,2,False,True,2317.7855506003875
186,pmem to dram,native THP,2,2,True,False,4943.22337215329
187,pmem to dram,native THP,2,2,False,False,3411.8543172325085
188,pmem to pmem,native THP,2,2,True,True,1430.0610414405235
189,pmem to pmem,native THP,2,2,False,True,1083.164328105856
190,pmem to pmem,native THP,2,2,True,False,1473.275880484914
191,pmem to pmem,native THP,2,2,False,False,1169.5158900077322
192,dram to dram,native THP,2,4,True,True,2194.708743769016
193,dram to dram,native THP,2,4,False,True,2218.6732079069297
194,dram to dram,native THP,2,4,True,False,2389.314840673617
195,dram to dram,native THP,2,4,False,False,3941.372866879737
196,dram to pmem,native THP,2,4,True,True,1752.9081403388773
197,dram to pmem,native THP,2,4,False,True,1060.299188333019
198,dram to pmem,native THP,2,4,True,False,1705.6644818952454
199,dram to pmem,native THP,2,4,False,False,1116.0025502890278
200,pmem to dram,native THP,2,4,True,True,2457.9256889181656
201,pmem to dram,native THP,2,4,False,True,2397.601295807596
202,pmem to dram,native THP,2,4,True,False,3520.2206755937123
203,pmem to dram,native THP,2,4,False,False,2082.766321897679
204,pmem to pmem,native THP,2,4,True,True,1484.5198537644028
205,pmem to pmem,native THP,2,4,False,True,1076.4329562974408
206,pmem to pmem,native THP,2,4,True,False,1515.548542944053
207,pmem to pmem,native THP,2,4,False,False,1083.8561042288056
208,dram to dram,native THP,2,8,True,True,2276.188566630854
209,dram to dram,native THP,2,8,False,True,2329.0797543868944
210,dram to dram,native THP,2,8,True,False,3156.6298005187527
211,dram to dram,native THP,2,8,False,False,3934.2475114777985
212,dram to pmem,native THP,2,8,True,True,1778.5027350148528
213,dram to pmem,native THP,2,8,False,True,1035.6002873894356
214,dram to pmem,native THP,2,8,True,False,1962.00075419309
215,dram to pmem,native THP,2,8,False,False,747.1381945469035
216,pmem to dram,native THP,2,8,True,True,2588.359725705049
217,pmem to dram,native THP,2,8,False,True,2538.7341008603516
218,pmem to dram,native THP,2,8,True,False,848.2930070213107
219,pmem to dram,native THP,2,8,False,False,800.7460070099708
220,pmem to pmem,native THP,2,8,True,True,1446.6570964272
221,pmem to pmem,native THP,2,8,False,True,1038.5276627161247
222,pmem to pmem,native THP,2,8,True,False,1298.9846291798322
223,pmem to pmem,native THP,2,8,False,False,536.5952565475671
224,dram to dram,native THP,2,16,True,True,2290.705897486759
225,dram to dram,native THP,2,16,False,True,2540.3627117177975
226,dram to dram,native THP,2,16,True,False,3248.7847920485337
227,dram to dram,native THP,2,16,False,False,4000.1816082450146
228,dram to pmem,native THP,2,16,True,True,1794.965550179771
229,dram to pmem,native THP,2,16,False,True,1121.0922263436998
230,dram to pmem,native THP,2,16,True,False,1140.5757144313209
231,dram to pmem,native THP,2,16,False,False,615.6160396604477
232,pmem to dram,native THP,2,16,True,True,2202.356659272713
233,pmem to dram,native THP,2,16,False,True,2390.2244242961474
234,pmem to dram,native THP,2,16,True,False,827.7331280996634
235,pmem to dram,native THP,2,16,False,False,808.4060404463125
236,pmem to pmem,native THP,2,16,True,True,1111.4723936689616
237,pmem to pmem,native THP,2,16,False,True,1102.202194473547
238,pmem to pmem,native THP,2,16,True,False,762.283823870835
239,pmem to pmem,native THP,2,16,False,False,404.17520463630586
240,dram to dram,native THP,2,32,True,True,2351.7980988387544
241,dram to dram,native THP,2,32,False,True,2692.349595234265
242,dram to dram,native THP,2,32,True,False,3584.0462141255034
243,dram to dram,native THP,2,32,False,False,4468.362783637532
244,dram to pmem,native THP,2,32,True,True,1843.8288595159654
245,dram to pmem,native THP,2,32,False,True,1154.4493564099967
246,dram to pmem,native THP,2,32,True,False,822.763064837257
247,dram to pmem,native THP,2,32,False,False,364.789500139789
248,pmem to dram,native THP,2,32,True,True,2716.3002632264725
249,pmem to dram,native THP,2,32,False,True,2804.0696303766545
250,pmem to dram,native THP,2,32,True,False,1394.8601921385914
251,pmem to dram,native THP,2,32,False,False,1349.064311337534
252,pmem to pmem,native THP,2,32,True,True,1100.220857647326
253,pmem to pmem,native THP,2,32,False,True,1138.7424758658478
254,pmem to pmem,native THP,2,32,True,False,661.5061182463147
255,pmem to pmem,native THP,2,32,False,False,315.28645271347034
256,dram to dram,native THP,2,64,True,True,2607.4340756637034
257,dram to dram,native THP,2,64,False,True,2882.464172501645
258,dram to dram,native THP,2,64,True,False,4376.144678078148
259,dram to dram,native THP,2,64,False,False,4604.114760668188
260,dram to pmem,native THP,2,64,True,True,1861.1632310325285
261,dram to pmem,native THP,2,64,False,True,1176.5474055344664
262,dram to pmem,native THP,2,64,True,False,724.200197658223
263,dram to pmem,native THP,2,64,False,False,275.49763392666716
264,pmem to dram,native THP,2,64,True,True,2980.928619535636
265,pmem to dram,native THP,2,64,False,True,2937.53527681524
266,pmem to dram,native THP,2,64,True,False,2132.594822854828
267,pmem to dram,native THP,2,64,False,False,2106.7282695957783
268,pmem to pmem,native THP,2,64,True,True,1106.7807239250726
269,pmem to pmem,native THP,2,64,False,True,1160.8191926435406
270,pmem to pmem,native THP,2,64,True,False,660.823764815168
271,pmem to pmem,native THP,2,64,False,False,247.99359138061075
272,dram to dram,native THP,2,128,True,True,3088.5314187771573
273,dram to dram,native THP,2,128,False,True,3204.8412572394955
274,dram to dram,native THP,2,128,True,False,4838.285504392681
275,dram to dram,native THP,2,128,False,False,4992.057519485151
276,dram to pmem,native THP,2,128,True,True,1889.1183741349942
277,dram to pmem,native THP,2,128,False,True,1207.4447409070312
278,dram to pmem,native THP,2,128,True,False,675.8456063934229
279,dram to pmem,native THP,2,128,False,False,246.64988777492732
280,pmem to dram,native THP,2,128,True,True,2995.5864947633754
281,pmem to dram,native THP,2,128,False,True,2989.8786674067806
282,pmem to dram,native THP,2,128,True,False,2859.701281234199
283,pmem to dram,native THP,2,128,False,False,2827.086841152685
284,pmem to pmem,native THP,2,128,True,True,1130.0786683340848
285,pmem to pmem,native THP,2,128,False,True,1176.6447424719295
286,pmem to pmem,native THP,2,128,True,False,640.2351939197799
287,pmem to pmem,native THP,2,128,False,False,233.2280378771466
288,dram to dram,native THP,2,256,True,True,3331.458802149132
289,dram to dram,native THP,2,256,False,True,3690.7317533977725
290,dram to dram,native THP,2,256,True,False,5264.692589427554
291,dram to dram,native THP,2,256,False,False,5716.34523181066
292,dram to pmem,native THP,2,256,True,True,1932.5099830767006
293,dram to pmem,native THP,2,256,False,True,1223.6050789179749
294,dram to pmem,native THP,2,256,True,False,646.3404240787877
295,dram to pmem,native THP,2,256,False,False,221.68805655589244
296,pmem to dram,native THP,2,256,True,True,3040.457972782723
297,pmem to dram,native THP,2,256,False,True,2973.5785972554622
298,pmem to dram,native THP,2,256,True,False,3393.2483659789295
299,pmem to dram,native THP,2,256,False,False,3416.834176072348
300,pmem to pmem,native THP,2,256,True,True,1149.7189065269592
301,pmem to pmem,native THP,2,256,False,True,1194.029650813132
302,pmem to pmem,native THP,2,256,True,False,639.0078691934517
303,pmem to pmem,native THP,2,256,False,False,223.97217417302164
304,dram to dram,native THP,2,512,True,True,3424.815765664719
305,dram to dram,native THP,2,512,False,True,3741.467342575993
306,dram to dram,native THP,2,512,True,False,5336.116390395198
307,dram to dram,native THP,2,512,False,False,5893.261060006479
308,dram to pmem,native THP,2,512,True,True,1948.2155383131876
309,dram to pmem,native THP,2,512,False,True,1207.2329976737678
310,dram to pmem,native THP,2,512,True,False,635.6640445725542
311,dram to pmem,native THP,2,512,False,False,219.39128722699655
312,pmem to dram,native THP,2,512,True,True,3032.631740041589
313,pmem to dram,native THP,2,512,False,True,3045.877351493685
314,pmem to dram,native THP,2,512,True,False,3836.8730491828337
315,pmem to dram,native THP,2,512,False,False,3848.8828260899054
316,pmem to pmem,native THP,2,512,True,True,1155.2757801133455
317,pmem to pmem,native THP,2,512,False,True,1200.8284254502257
318,pmem to pmem,native THP,2,512,True,False,639.8955101023774
319,pmem to pmem,native THP,2,512,False,False,220.17430614721656
320,dram to dram,native THP,4,1,True,True,2670.9651398984765
321,dram to dram,native THP,4,1,False,True,3010.1496224971356
322,dram to dram,native THP,4,1,True,False,2716.6936751296203
323,dram to dram,native THP,4,1,False,False,4212.761296519417
324,dram to pmem,native THP,4,1,True,True,1524.5013279931068
325,dram to pmem,native THP,4,1,False,True,998.695603672044
326,dram to pmem,native THP,4,1,True,False,1204.7031611410948
327,dram to pmem,native THP,4,1,False,False,556.6159708261985
328,pmem to dram,native THP,4,1,True,True,2956.335515700211
329,pmem to dram,native THP,4,1,False,True,3009.0418699149072
330,pmem to dram,native THP,4,1,True,False,3425.792034553909
331,pmem to dram,native THP,4,1,False,False,783.3329925834815
332,pmem to pmem,native THP,4,1,True,True,1075.1586423455747
333,pmem to pmem,native THP,4,1,False,True,976.3432994877419
334,pmem to pmem,native THP,4,1,True,False,1097.728580022218
335,pmem to pmem,native THP,4,1,False,False,477.4631884237331
336,dram to dram,native THP,4,2,True,True,3347.382857081648
337,dram to dram,native THP,4,2,False,True,3524.8060871991206
338,dram to dram,native THP,4,2,True,False,3367.2709346601273
339,dram to dram,native THP,4,2,False,False,5617.371609354496
340,dram to pmem,native THP,4,2,True,True,1632.200974864676
341,dram to pmem,native THP,4,2,False,True,994.0270406169886
342,dram to pmem,native THP,4,2,True,False,1582.8734360517947
343,dram to pmem,native THP,4,2,False,False,707.6769217072961
344,pmem to dram,native THP,4,2,True,True,3926.867588773714
345,pmem to dram,native THP,4,2,False,True,3601.411609294378
346,pmem to dram,native THP,4,2,True,False,7500.415335499203
347,pmem to dram,native THP,4,2,False,False,918.3773319494611
348,pmem to pmem,native THP,4,2,True,True,1169.30426630016
349,pmem to pmem,native THP,4,2,False,True,1023.6441845571094
350,pmem to pmem,native THP,4,2,True,False,1064.4596869157945
351,pmem to pmem,native THP,4,2,False,False,737.6616590136114
352,dram to dram,native THP,4,4,True,True,3793.187814004829
353,dram to dram,native THP,4,4,False,True,3737.2493228337803
354,dram to dram,native THP,4,4,True,False,3854.791172952241
355,dram to dram,native THP,4,4,False,False,6458.084528899686
356,dram to pmem,native THP,4,4,True,True,1716.7501336275388
357,dram to pmem,native THP,4,4,False,True,1006.608713350981
358,dram to pmem,native THP,4,4,True,False,1750.588646373522
359,dram to pmem,native THP,4,4,False,False,286.2140235769947
360,pmem to dram,native THP,4,4,True,True,4357.594202743825
361,pmem to dram,native THP,4,4,False,True,4114.428849387628
362,pmem to dram,native THP,4,4,True,False,7395.895832505148
363,pmem to dram,native THP,4,4,False,False,1305.7350986654246
364,pmem to pmem,native THP,4,4,True,True,1195.9141831116826
365,pmem to pmem,native THP,4,4,False,True,1015.4789197873455
366,pmem to pmem,native THP,4,4,True,False,1095.5932800581015
367,pmem to pmem,native THP,4,4,False,False,283.5865319140981
368,dram to dram,native THP,4,8,True,True,4287.801985874051
369,dram to dram,native THP,4,8,False,True,4496.942753469054
370,dram to dram,native THP,4,8,True,False,5081.304363208079
371,dram to dram,native THP,4,8,False,False,6743.55556327318
372,dram to pmem,native THP,4,8,True,True,1773.7873475083331
373,dram to pmem,native THP,4,8,False,True,1020.1734062701208
374,dram to pmem,native THP,4,8,True,False,2078.300652531849
375,dram to pmem,native THP,4,8,False,False,209.08067423551773
376,pmem to dram,native THP,4,8,True,True,4693.607189667493
377,pmem to dram,native THP,4,8,False,True,4647.578750898145
378,pmem to dram,native THP,4,8,True,False,884.8934181273601
379,pmem to dram,native THP,4,8,False,False,811.6414051395731
380,pmem to pmem,native THP,4,8,True,True,1168.326527636589
381,pmem to pmem,native THP,4,8,False,True,929.8849325513775
382,pmem to pmem,native THP,4,8,True,False,980.9743819888984
383,pmem to pmem,native THP,4,8,False,False,216.06027967290927
384,dram to dram,native THP,4,16,True,True,4913.577994098731
385,dram to dram,native THP,4,16,False,True,4774.120827746618
386,dram to dram,native THP,4,16,True,False,6082.924864928653
387,dram to dram,native THP,4,16,False,False,7257.954695665342
388,dram to pmem,native THP,4,16,True,True,1761.3373570351364
389,dram to pmem,native THP,4,16,False,True,486.7924832547189
390,dram to pmem,native THP,4,16,True,False,1189.8275839439164
391,dram to pmem,native THP,4,16,False,False,178.72497666435453
392,pmem to dram,native THP,4,16,True,True,3426.136008734419
393,pmem to dram,native THP,4,16,False,True,3579.2934295805335
394,pmem to dram,native THP,4,16,True,False,807.7828096588448
395,pmem to dram,native THP,4,16,False,False,814.8565958322692
396,pmem to pmem,native THP,4,16,True,True,373.9938513540868
397,pmem to pmem,native THP,4,16,False,True,504.6417006707911
398,pmem to pmem,native THP,4,16,True,False,394.751779045113
399,pmem to pmem,native THP,4,16,False,False,182.88838458255077
400,dram to dram,native THP,4,32,True,True,5067.301202568755
401,dram to dram,native THP,4,32,False,True,5050.922532848872
402,dram to dram,native THP,4,32,True,False,6700.095957936797
403,dram to dram,native THP,4,32,False,False,7443.587031094143
404,dram to pmem,native THP,4,32,True,True,1797.7826239005942
405,dram to pmem,native THP,4,32,False,True,326.1573361565159
406,dram to pmem,native THP,4,32,True,False,787.5286781336798
407,dram to pmem,native THP,4,32,False,False,148.82596062089357
408,pmem to dram,native THP,4,32,True,True,4335.92861695679
409,pmem to dram,native THP,4,32,False,True,4312.643703689788
410,pmem to dram,native THP,4,32,True,False,1415.7050084856032
411,pmem to dram,native THP,4,32,False,False,1392.5312829215336
412,pmem to pmem,native THP,4,32,True,True,294.046859601593
413,pmem to pmem,native THP,4,32,False,True,359.59918930520365
414,pmem to pmem,native THP,4,32,True,False,487.721071063577
415,pmem to pmem,native THP,4,32,False,False,148.3420117906848
416,dram to dram,native THP,4,64,True,True,5637.160698857133
417,dram to dram,native THP,4,64,False,True,5664.446475069833
418,dram to dram,native THP,4,64,True,False,7854.388666666962
419,dram to dram,native THP,4,64,False,False,8148.472502623044
420,dram to pmem,native THP,4,64,True,True,1819.3952152344966
421,dram to pmem,native THP,4,64,False,True,308.03594785672203
422,dram to pmem,native THP,4,64,True,False,653.1630046147293
423,dram to pmem,native THP,4,64,False,False,134.95045842471464
424,pmem to dram,native THP,4,64,True,True,4735.61813490758
425,pmem to dram,native THP,4,64,False,True,4652.059022039355
426,pmem to dram,native THP,4,64,True,False,2313.4266082361614
427,pmem to dram,native THP,4,64,False,False,2262.6022801848208
428,pmem to pmem,native THP,4,64,True,True,350.92929386168146
429,pmem to pmem,native THP,4,64,False,True,329.61709967812686
430,pmem to pmem,native THP,4,64,True,False,472.85709368106063
431,pmem to pmem,native THP,4,64,False,False,134.5199428573996
432,dram to dram,native THP,4,128,True,True,6080.763503705908
433,dram to dram,native THP,4,128,False,True,5777.026387235992
434,dram to dram,native THP,4,128,True,False,8493.36931283825
435,dram to dram,native THP,4,128,False,False,8843.69563890837
436,dram to pmem,native THP,4,128,True,True,1846.2971685221241
437,dram to pmem,native THP,4,128,False,True,291.83703717701076
438,dram to pmem,native THP,4,128,True,False,582.7956424311536
439,dram to pmem,native THP,4,128,False,False,127.69935456185941
440,pmem to dram,native THP,4,128,True,True,5016.067895833466
441,pmem to dram,native THP,4,128,False,True,5015.1350113917615
442,pmem to dram,native THP,4,128,True,False,3310.0315216887775
443,pmem to dram,native THP,4,128,False,False,3304.6312767937343
444,pmem to pmem,native THP,4,128,True,True,323.1350419591458
445,pmem to pmem,native THP,4,128,False,True,305.5284819063222
446,pmem to pmem,native THP,4,128,True,False,497.80569679544453
447,pmem to pmem,native THP,4,128,False,False,128.34136931737845
448,dram to dram,native THP,4,256,True,True,6437.02480110222
449,dram to dram,native THP,4,256,False,True,6599.5721847954865
450,dram to dram,native THP,4,256,True,False,9087.818716192249
451,dram to dram,native THP,4,256,False,False,9710.991559532364
452,dram to pmem,native THP,4,256,True,True,1868.8726432478418
453,dram to pmem,native THP,4,256,False,True,279.63951877616455
454,dram to pmem,native THP,4,256,True,False,549.8195464328084
455,dram to pmem,native THP,4,256,False,False,124.64224376792497
456,pmem to dram,native THP,4,256,True,True,5142.8000485930315
457,pmem to dram,native THP,4,256,False,True,5088.833773417732
458,pmem to dram,native THP,4,256,True,False,4239.106012945849
459,pmem to dram,native THP,4,256,False,False,4212.8000568280395
460,pmem to pmem,native THP,4,256,True,True,328.976415351036
461,pmem to pmem,native THP,4,256,False,True,290.3870572784362
462,pmem to pmem,native THP,4,256,True,False,507.44883812506026
463,pmem to pmem,native THP,4,256,False,False,125.47121711146406
464,dram to dram,native THP,4,512,True,True,6509.692931503584
465,dram to dram,native THP,4,512,False,True,6962.676177261663
466,dram to dram,native THP,4,512,True,False,9318.493591035862
467,dram to dram,native THP,4,512,False,False,10266.831234078829
468,dram to pmem,native THP,4,512,True,True,1894.5954435861752
469,dram to pmem,native THP,4,512,False,True,272.0233080374752
470,dram to pmem,native THP,4,512,True,False,532.3722813598937
